act_pos0,act_pos1,act_pos2,act_torq0,act_torq1,act_torq2
-1974,-4,1,-41,-41,-41
-2071,-4,1,31,31,31
-2169,-3,1,-133,-133,-133
-2271,-2,1,-18,-18,-18
-2370,-2,1,-193,-193,-193
-2465,-1,1,-171,-171,-171
-2562,-1,1,-140,-140,-140
-2671,-1,1,-173,-173,-173
-2772,-2,1,-95,-95,-95
-2870,-1,1,-206,-206,-206
-2975,-1,1,-67,-67,-67
-3076,-2,1,-206,-206,-206
-3178,-3,1,-203,-203,-203
-3278,-2,1,-131,-131,-131
-3379,-2,1,-214,-214,-214
-3478,-2,1,-193,-193,-193
-3576,-2,1,-36,-36,-36
-3681,-1,1,-56,-56,-56
-3785,-2,1,-87,-87,-87
-3894,-2,1,-61,-61,-61
-3994,-2,1,-55,-55,-55
-4095,-3,1,-330,-330,-330
-4197,-2,1,-109,-109,-109
-4299,-2,2,-103,-103,-103
-4400,-2,1,-174,-174,-174
-4502,-2,1,-273,-273,-273
-4602,-2,1,-84,-84,-84
-4702,-2,2,-166,-166,-166
-4803,-2,1,-104,-104,-104
-4905,-2,1,-58,-58,-58
-5007,-2,1,-92,-92,-92
-5109,-2,1,-213,-213,-213
-5211,-2,1,-182,-182,-186
-5322,-1,1,-70,-70,-70
-5423,-2,1,99,99,99
-5526,-2,1,-15,-15,-15
-5628,-2,2,-124,-124,-124
-5728,-2,1,-49,-49,-49
-5827,-2,1,-11,-11,-11
-5929,-1,1,4,4,4
-6028,-1,1,-234,-234,-234
-6129,-1,1,-61,-61,-61
-6228,-1,1,22,22,22
-6330,-1,1,84,84,84
-6430,-1,1,57,57,57
-6531,-1,1,26,26,26
-6629,-1,1,31,31,31
-6738,-1,1,-149,-149,-149
-6840,-1,1,122,122,122
-6941,0,1,0,0,0
-7040,-1,2,-190,-190,-190
-7139,0,1,-124,-124,-124
-7240,-1,1,-173,-173,-173
-7339,0,1,-7,-7,-7
-7441,0,1,-156,-156,-156
-7542,0,1,-25,-25,-25
-7642,0,1,-128,-128,-128
-7744,0,0,49,49,49
-7846,0,1,0,0,0
-7957,0,1,-94,-94,-94
-8058,0,1,-111,-111,-111
-8157,0,1,47,47,47
-8258,0,0,-203,-203,-203
-8358,0,0,18,18,18
-8458,0,1,-136,-136,-136
-8560,0,1,-119,-119,-119
-8661,0,1,-31,-31,-31
